# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Dec 09 15:17:54 AEDT 2019 [seed=1575863808847]
# -overwrite ebola_early2014_ucld_het.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
384000	-20268.082814626276	-21394.199179441246	-1126.1163648149713	1.0	-21394.199179441246
385000	-20259.53548604696	-21377.169130338887	-1117.6336442919267	1.0	-21377.169130338887
386000	-20257.997565306105	-21377.52070823979	-1119.5231429336873	1.0	-21377.52070823979
387000	-20255.666811151703	-21385.362573372757	-1129.6957622210555	1.0	-21385.362573372757
388000	-20263.55320251309	-21381.827408378438	-1118.2742058653487	1.0	-21381.827408378438
389000	-20258.44218856869	-21378.084925865965	-1119.6427372972762	1.0	-21378.084925865965
390000	-20261.295428441586	-21368.135483601945	-1106.8400551603586	1.0	-21368.135483601945
391000	-20266.444284921796	-21367.49771555003	-1101.0534306282348	1.0	-21367.49771555003
392000	-20261.072122392434	-21364.23415913641	-1103.162036743976	1.0	-21364.23415913641
393000	-20261.603406488022	-21361.93714548363	-1100.3337389956052	1.0	-21361.93714548363
394000	-20263.594529197824	-21362.798668492556	-1099.2041392947322	1.0	-21362.798668492556
395000	-20264.5840223432	-21372.743196852494	-1108.159174509295	1.0	-21372.743196852494
396000	-20257.356787265555	-21359.097591272795	-1101.7408040072414	1.0	-21359.097591272795
397000	-20259.88360306307	-21371.178529738518	-1111.2949266754467	1.0	-21371.178529738518
398000	-20264.15044073017	-21373.656593276013	-1109.5061525458436	1.0	-21373.656593276013
399000	-20260.525223669356	-21367.977240453954	-1107.4520167845988	1.0	-21367.977240453954
400000	-20264.510748677803	-21366.086350003312	-1101.575601325509	1.0	-21366.086350003312
401000	-20267.62435287599	-21367.965305497302	-1100.340952621312	1.0	-21367.965305497302
402000	-20258.05508291625	-21354.72087064291	-1096.6657877266575	1.0	-21354.72087064291
403000	-20261.705129204434	-21355.78889582139	-1094.0837666169573	1.0	-21355.78889582139
404000	-20264.833848943657	-21360.70958920469	-1095.8757402610306	1.0	-21360.70958920469
405000	-20263.554422292338	-21354.02404017582	-1090.469617883482	1.0	-21354.02404017582
